id,gender,race,appointed_date,rank,birth_year,complaint_percentile
6329,F,Black,2010-04-16,Police Officer,1971,67.1125
3201,M,Hispanic,1999-05-10,Police Officer,1973,50.4146
262,M,Hispanic,2003-02-24,Police Officer,1976,94.1462
21805,M,Hispanic,2001-07-30,Police Officer,1969,88.5102
30689,F,Black,2003-08-25,Police Officer,1970,77.2496
17364,M,White,1995-09-05,Police Officer,1970,63.1462
31796,M,White,2008-04-28,Police Officer,1978,94.0583
385,M,Black,1991-03-27,Police Officer,1964,91.4600
31610,M,White,2013-04-01,Police Officer,1977,0.0000
254,M,White,2012-10-05,Police Officer,1984,84.0740
4851,M,White,1966-02-07,Police Officer,1936,45.5228
7205,M,White,1996-12-02,Police Officer,1970,89.4463
17844,F,Asian/Pacific,2015-08-31,Police Officer,1988,
19890,F,White,1987-12-07,Sergeant,1962,51.4692
32166,M,Black,1994-12-05,Sergeant,1964,99.8892
13528,F,Black,1991-03-27,Police Officer,1961,85.9654
23729,M,White,2007-09-24,Field Training Officer,1973,44.5646
4551,M,Asian/Pacific,2013-11-04,Police Officer,1980,47.7360
8443,M,White,2004-09-27,Police Officer,1979,69.1720
26185,M,White,2001-03-26,Detective,1975,43.4374
14163,M,White,2000-08-14,Police Officer,1969,99.1135
10314,F,Hispanic,1986-02-03,Captain,1958,35.0770
16246,M,White,1999-11-29,Detective,1968,82.8360
21385,F,Hispanic,2012-12-14,Police Officer,1982,38.5885
32062,M,Hispanic,1991-06-19,Police Officer,1967,90.7226
21448,M,Hispanic,1994-09-06,Police Officer,1967,98.1888
7252,M,Black,2001-02-05,Police Officer,1964,63.6621
5173,F,White,1986-06-16,Sergeant,1961,45.7147
21351,F,White,2005-01-03,Police Officer,1977,52.6308
24951,M,White,2003-09-29,Police Officer,1974,95.4071
25432,M,Hispanic,2004-09-27,Police Officer,1971,64.2047
21582,M,Hispanic,2007-09-24,Police Officer,1979,85.7743
21663,M,White,1986-06-16,Sergeant,1964,56.9371
28017,F,White,1995-01-03,Police Officer,1956,70.1043
32658,M,Black,2017-07-17,"",1987,
22250,F,Hispanic,1998-10-13,Police Officer,1972,62.3056
32199,M,Black,1995-06-05,Police Officer,1955,90.3787
17000,F,White,1998-04-13,Police Officer,1963,67.9034
9752,M,White,1995-06-05,Police Officer,1971,43.7966
24915,M,Hispanic,2006-01-23,Police Officer,1979,63.0622
14065,M,White,1995-08-07,Police Officer,1971,52.2601
6211,M,Black,1999-10-04,Police Officer,1965,85.5986
21912,M,White,1991-02-27,Police Officer,1962,93.5921
23263,F,Hispanic,1994-05-02,Police Officer,1957,75.4117
5131,M,White,1997-05-05,Police Officer,1967,90.0310
21325,M,White,2001-06-25,Police Officer,1976,97.3788
10445,M,White,2006-11-27,Police Officer,1968,59.0348
28812,M,White,1995-09-05,Police Officer,1973,77.6203
29273,F,Hispanic,2002-02-25,Police Officer,1969,56.6963
8898,M,White,2001-10-29,Police Officer,1974,91.0970
18048,M,Black,1987-03-09,Police Officer,1963,76.7070
14882,M,Black,1990-03-26,Police Officer,1958,88.8235
24525,M,Hispanic,2003-10-27,Sergeant,1980,92.8050
15228,M,White,1996-08-05,Police Officer,1966,99.4994
4720,M,White,1994-08-01,Sergeant,1969,88.6134
32296,M,Hispanic,1994-09-06,Police Officer,1969,61.1440
15913,M,White,1995-12-04,Detective,1966,60.0971
15432,M,White,1995-06-05,Sergeant,1968,68.2511
8428,M,Hispanic,2007-07-09,Police Officer,1984,91.2575
12023,M,Hispanic,2016-04-25,Police Officer,1995,
2097,M,White,2007-08-27,Police Officer,1983,87.9332
15852,F,Hispanic,1999-06-21,Detective,1975,67.2271
14215,M,Asian/Pacific,1999-11-15,Police Officer,1971,96.3853
12232,M,White,2005-09-26,Police Officer,1973,90.6652
23778,M,Hispanic,2003-09-29,Police Officer,1967,55.3781
17843,F,White,1999-09-13,Police Officer,1971,60.1735
30877,F,White,1989-12-26,Detective,1962,71.0443
1146,M,White,2002-10-28,Police Officer,1978,97.6119
25928,F,White,2004-09-27,Sergeant,1980,64.2047
15197,M,White,2006-08-28,Sergeant,1981,89.2744
18259,M,White,1991-11-18,Lieutenant,1967,56.6505
22399,M,White,2000-06-19,Police Officer,1964,66.0005
8748,M,White,1991-12-16,Sergeant,1967,88.3077
19427,M,Hispanic,1976-03-08,Detective,1945,39.5515
9001,M,Black,1996-08-05,Police Officer,1964,93.1069
24261,M,Black,2005-10-31,Police Officer,1973,99.2816
22674,M,White,2010-09-01,Field Training Officer,1974,27.5267
21283,M,White,2002-09-30,Sergeant,1980,80.4287
5096,M,White,1994-10-03,Police Officer,1967,58.0031
17547,M,Hispanic,1986-07-14,Police Officer,1962,70.3068
27797,M,White,2004-04-26,Police Officer,1976,98.4563
11373,M,Hispanic,2006-01-23,Field Training Officer,1977,92.2968
19591,M,White,1993-12-13,Lieutenant,1966,99.1364
6819,M,White,1987-04-13,Detective,1963,86.1297
13118,M,Black,2004-09-27,Police Officer,1969,80.0543
21887,M,White,2004-09-27,Police Officer,1979,98.6626
16664,M,Hispanic,2012-12-14,Police Officer,1985,76.9134
31795,M,White,2004-09-27,Police Officer,1980,69.1720
19448,F,Black,1997-09-02,Police Officer,1959,26.5370
1490,M,White,1995-12-04,Lieutenant,1970,56.5282
9994,M,White,1986-07-14,Lieutenant,1962,48.4238
1889,M,White,1969-01-06,Detective,1947,43.4924
14751,M,White,2005-12-05,Police Officer,1979,29.4677
23139,M,Asian/Pacific,1999-12-13,Detective,1976,56.3716
31900,M,White,1995-07-10,Police Officer,1972,94.1003
22745,M,Asian/Pacific,2000-12-18,Field Training Officer,1973,42.7534
5403,M,White,1971-07-26,Commander,1948,19.7166
27298,M,White,2013-12-02,Police Officer,1988,48.6760
14061,M,White,2001-02-05,Sergeant,1972,97.6080
3769,M,Black,2001-06-25,Police Officer,1972,64.5791
24120,M,Hispanic,2013-03-05,Police Officer,1979,78.9958
6164,M,White,1994-07-05,Police Officer,1965,90.8678
5397,M,Black,1986-07-14,Police Officer,1960,60.1428
29341,M,White,1986-03-31,Lieutenant,1961,38.3554
13895,M,White,2012-08-01,Police Officer,1985,82.7290
10656,M,White,1986-11-17,Sergeant,1964,72.5651
9691,M,Hispanic,2000-09-11,Police Officer,1974,69.9897
9608,M,Hispanic,2013-08-26,Police Officer,1981,45.5657
29894,M,White,1997-07-07,Detective,1965,86.1717
17300,M,White,2002-07-29,Sergeant,1969,52.2983
7961,M,Hispanic,2012-08-31,Police Officer,1983,74.0973
6131,M,White,2007-10-29,Police Officer,1984,63.1844
10326,M,Hispanic,1991-02-27,Sergeant,1965,74.4182
7518,M,White,1999-06-21,Detective,1970,73.1879
15974,F,White,2005-12-05,Police Officer,1975,83.2333
26217,M,Black,1998-10-13,Police Officer,1970,69.0115
30120,F,Black,2001-12-17,Police Officer,1969,31.1184
553,M,Hispanic,2013-07-15,Police Officer,1979,44.1787
820,F,Hispanic,2006-05-01,Police Officer,1970,63.8684
14696,M,White,1996-07-16,Sergeant,1971,98.5709
25689,M,White,2000-12-18,Police Officer,1973,58.6489
25308,F,Hispanic,2007-04-02,Police Officer,1982,32.0775
20782,M,White,1987-04-13,Commander,1964,48.4238
10660,M,White,1997-05-05,Detective,1973,21.3290
26500,F,Black,1998-10-13,Police Officer,1966,58.1063
814,M,White,1985-07-01,Lieutenant,1961,31.5884
27019,M,White,1998-11-30,Sergeant,1972,69.2790
3055,M,Black,1994-08-01,Sergeant,1969,98.8155
2844,M,White,2006-01-23,Police Officer,1977,85.9921
25986,M,White,2000-09-11,Sergeant,1969,58.0299
16606,M,Black,2003-08-25,Police Officer,1964,97.3329
2995,F,Black,1992-06-29,Police Officer,1964,57.7089
20477,M,Black,1990-03-26,Field Training Officer,1960,84.8496
14965,M,White,1994-09-06,Detective,1963,85.9042
2310,M,White,1993-12-13,Police Officer,1967,36.8843
22894,M,White,1993-11-22,Police Officer,1968,72.6797
16535,M,Hispanic,2013-03-15,Police Officer,1985,64.9803
16716,M,Hispanic,2006-02-21,Police Officer,1981,39.4215
29271,F,Hispanic,2003-09-29,Police Officer,1966,80.2186
24327,F,White,2013-11-04,Police Officer,1983,47.7360
12001,M,White,2010-04-16,Police Officer,1984,75.1213
10449,M,White,2001-08-27,Police Officer,1976,97.8488
32154,M,Hispanic,2000-12-18,Police Officer,1977,97.3291
32209,M,Hispanic,1982-07-19,Lieutenant,1956,56.9371
15456,M,Black,1994-09-06,Police Officer,1967,77.8572
21771,M,White,1995-02-06,Police Officer,1967,38.3058
17711,M,Hispanic,1995-06-05,Sergeant,1973,94.4366
30782,M,Black,2000-09-11,Police Officer,1961,62.5845
16779,M,White,2012-11-30,Police Officer,1987,38.0880
21364,M,White,2004-01-26,Police Officer,1976,98.3226
29683,F,White,2003-02-24,Police Officer,1972,78.8315
18332,M,White,1989-12-26,Police Officer,1961,81.6514
3101,M,Black,2003-10-27,Police Officer,1969,80.4631
23430,M,Hispanic,2017-03-16,Police Officer,1979,
29837,M,Hispanic,2000-12-18,Sergeant,1978,96.4656
2222,M,White,1995-02-06,Police Officer,1970,97.2833
9041,M,White,1989-12-26,Detective,1962,77.7311
772,M,Asian/Pacific,2012-11-30,Police Officer,1985,61.6637
1914,M,White,2003-04-28,Police Officer,1967,69.2943
18692,M,White,2005-08-29,Police Officer,1979,67.2003
12457,M,White,2012-08-31,Field Training Officer,1984,36.3800
19408,F,Hispanic,2012-12-14,Police Officer,1986,76.9134
30049,M,Black,1999-05-10,Police Officer,1959,63.5895
8362,M,White,1985-03-04,Police Officer,1955,61.9579
11360,F,Hispanic,2004-10-25,Police Officer,1973,82.8742
30498,M,White,1995-07-10,Sergeant,1972,84.7006
4806,M,Black,1995-09-05,Police Officer,1969,48.3130
438,M,Hispanic,1998-03-16,Detective,1971,64.6632
28900,F,Hispanic,2012-08-31,Detective,1984,74.0973
11767,M,Black,1997-05-05,Police Officer,1959,74.1240
30122,M,White,1999-10-25,Detective,1970,60.4180
32244,M,White,1997-03-17,Police Officer,1968,83.1455
11116,M,White,2002-04-29,Police Officer,1979,94.5130
8803,M,Hispanic,2013-11-04,Police Officer,1988,47.7360
352,M,Asian/Pacific,2006-09-25,Police Officer,1981,95.7663
7846,M,White,1988-05-02,Sergeant,1965,85.9807
19006,M,White,1991-05-22,Police Officer,1961,91.1161
2499,F,White,2001-07-30,Police Officer,1966,55.2902
4524,F,Black,1992-01-02,Detective,1962,81.6094
4082,M,Black,2005-10-31,Field Training Officer,1977,72.6071
10417,M,White,2007-07-09,Police Officer,1970,68.5377
31898,M,White,1998-05-26,Police Officer,1973,76.0536
16042,F,White,2004-10-25,Police Officer,1975,93.3539
31199,M,Black,1995-12-04,Sergeant,1968,90.0844
21102,M,White,2004-10-25,Police Officer,1979,64.5333
11246,M,White,1993-12-13,Sergeant,1966,94.9410
1052,M,Black,2005-01-03,Police Officer,1967,52.6308
31007,M,White,1996-11-04,Police Officer,1972,89.3202
26061,M,White,2014-02-18,Police Officer,1986,51.6641
26165,M,White,1997-09-02,Police Officer,1971,87.4861
442,M,Asian/Pacific,2005-10-31,Police Officer,1980,67.8155
31665,F,White,1982-11-29,Sergeant,1955,49.3014
19354,M,Hispanic,2000-08-14,Police Officer,1977,93.9437
20621,F,Hispanic,2013-06-03,Police Officer,1984,43.0897
17732,F,Black,2010-09-01,Police Officer,1981,27.5267
28257,F,Black,2010-04-16,Police Officer,1981,91.2995
30757,M,Black,1996-12-10,Police Officer,1972,21.1264
21930,M,Hispanic,2013-03-05,Police Officer,1983,40.5220
16560,M,Hispanic,2003-10-27,Police Officer,1974,80.4631
25418,F,Hispanic,1997-05-05,Sergeant,1970,26.2581
14055,M,White,1990-03-26,Sergeant,1965,93.4890
1189,M,Black,2006-02-21,Police Officer,1971,91.2690
24421,M,Hispanic,2000-02-28,Police Officer,1956,34.9585
6259,M,Hispanic,2013-07-15,Police Officer,1988,44.1787
24457,M,Hispanic,1991-11-18,Police Officer,1968,87.3753
15161,M,White,1998-09-28,Police Officer,1954,17.1717
5089,M,Hispanic,2005-12-05,Police Officer,1981,85.6177
24385,M,Hispanic,2007-07-09,Police Officer,1975,53.3453
22915,M,White,2010-09-01,Police Officer,1984,69.4624
2610,F,Black,1989-12-26,Police Officer,1964,97.4972
11403,M,White,2012-08-31,Police Officer,1985,0.0000
32403,M,Asian/Pacific,2006-05-01,Police Officer,1972,97.3559
11260,M,Asian/Pacific,1997-03-17,Police Officer,1969,26.2084
8926,M,White,1992-01-02,Police Officer,1968,35.0006
5229,M,White,1968-02-26,Detective,1947,24.9682
29282,M,White,1993-11-22,Detective,1969,89.4234
22839,F,Hispanic,2003-10-27,Police Officer,1980,49.1880
6614,M,Hispanic,1999-09-13,Police Officer,1969,40.1781
32350,M,White,2005-10-31,Police Officer,1981,95.3575
28993,M,White,2003-08-25,Police Officer,1975,97.0272
16287,M,White,2005-09-26,Police Officer,1980,82.7366
7159,M,White,2014-02-18,Police Officer,1983,51.6641
27222,M,White,2003-04-28,Police Officer,1974,97.1151
28468,F,Black,2005-12-07,Field Training Officer,1969,90.9709
30820,F,Black,1996-12-02,Police Officer,1960,86.4889
23961,F,Black,2007-04-02,Police Officer,1973,52.4474
24918,M,Hispanic,1989-12-26,Police Officer,1959,92.4955
25203,M,Hispanic,2009-12-16,Police Officer,1979,87.5549
8897,M,Hispanic,2012-11-30,Police Officer,1976,90.6805
31264,M,White,2005-10-31,Police Officer,1966,62.1107
29115,M,White,1999-10-25,Sergeant,1971,60.4180
2231,M,White,2015-08-31,Police Officer,1985,
27086,M,Hispanic,1999-05-10,Police Officer,1975,92.0676
6825,F,White,1998-02-17,Police Officer,1971,37.4384
10181,M,White,2009-03-09,Police Officer,1980,90.1761
28152,M,Asian/Pacific,1997-03-17,Police Officer,1967,76.0651
3565,M,Hispanic,2006-05-01,Police Officer,1981,92.7630
24099,M,Hispanic,2003-11-24,Police Officer,1981,61.4917
4155,M,Hispanic,2006-02-21,Police Officer,1981,81.1585
22077,M,White,1997-08-04,Lieutenant,1971,63.5016
21136,F,White,1997-03-17,Police Officer,1970,21.2258
21379,M,White,2002-09-30,Police Officer,1973,63.4787
15018,M,White,2000-10-10,Police Officer,1978,66.7456
15008,M,White,2013-03-15,Police Officer,1976,40.7550
29385,M,White,2013-02-19,Police Officer,1985,40.0940
12086,M,Hispanic,2007-04-02,Police Officer,1979,86.7372
28809,F,White,2012-11-30,Police Officer,1987,38.0880
28438,M,Black,2001-03-26,Police Officer,1971,54.5260
27616,F,White,2006-11-27,Police Officer,1980,51.0489
20039,M,White,2000-12-18,Sergeant,1975,78.9232
32428,M,White,1998-06-08,Police Officer,1971,78.3539
10090,M,White,1998-09-28,Sergeant,1972,71.7703
5056,M,White,2012-11-30,Police Officer,1984,76.3746
6864,M,White,2012-11-30,Police Officer,1984,76.3746
17259,M,White,2004-10-25,Police Officer,1981,64.5333
11808,M,White,2012-11-30,Police Officer,1986,85.1477
17640,M,White,2002-12-02,Police Officer,1979,75.3544
6870,F,Black,1991-06-19,Police Officer,1967,85.2012
11092,F,Hispanic,2003-08-25,Police Officer,1965,60.7963
3306,M,White,1998-10-26,Police Officer,1971,65.9356
31116,M,White,2013-04-01,Police Officer,1988,41.2671
16945,M,Hispanic,1998-10-13,Sergeant,1975,94.8416
11052,M,Hispanic,1994-05-31,Sergeant,1968,73.4324
18119,M,White,1989-12-26,Detective,1957,64.8275
4872,M,White,2012-07-02,Police Officer,1984,57.7318
6651,M,Hispanic,2009-03-09,Police Officer,1985,98.2385
16438,M,Black,1998-10-13,Police Officer,1971,65.8668
22474,M,White,1995-09-05,Police Officer,1971,66.0120
8902,M,White,1995-07-10,Sergeant,1960,93.6571
7552,M,White,1985-09-09,Lieutenant,1959,88.8808
12912,M,White,2002-03-25,Sergeant,1978,51.3851
7293,M,Black,1985-09-09,Detective,1953,64.3155
24209,M,White,2013-02-19,Police Officer,1986,64.1206
26542,M,White,2000-01-24,Police Officer,1970,61.0026
27083,M,Hispanic,2012-08-01,Police Officer,1978,73.3293
19696,M,Black,2005-12-05,Police Officer,1972,68.0486
7047,M,White,1987-12-07,Lieutenant,1963,54.2318
22502,M,Black,2002-09-30,Police Officer,1979,84.5516
6026,M,White,2000-08-14,Sergeant,1976,84.1007
12906,M,White,2012-12-14,Police Officer,1976,62.2215
4567,M,White,2004-11-29,Detective,1979,73.8527
24425,M,Hispanic,1995-08-07,Sergeant,1973,98.9569
24909,M,Hispanic,2006-12-18,Police Officer,1972,51.2743
3876,M,White,1999-03-08,Police Officer,1970,88.4605
11469,M,White,2002-08-26,Police Officer,1977,92.0637
18812,M,Hispanic,1998-08-31,Sergeant,1964,89.8055
20327,M,White,1986-11-17,Sergeant,1962,38.3554
23509,M,White,2013-03-15,Police Officer,1984,94.9639
28530,M,Black,1994-05-02,Police Officer,1961,91.7581
15147,M,White,2012-11-30,Police Officer,1986,38.0880
13306,F,White,1999-03-08,Police Officer,1975,69.8751
21522,M,White,2000-10-10,Police Officer,1978,89.6145
51,M,Hispanic,2003-10-27,Police Officer,1975,61.3198
3582,F,Black,2010-04-16,Police Officer,1977,75.1213
20932,M,White,1991-12-02,Sergeant,1970,65.2669
27927,M,White,2002-09-30,Police Officer,1964,82.5876
19346,F,White,2012-10-05,Police Officer,1973,37.0181
28070,M,White,2001-03-26,Sergeant,1976,85.0789
19799,M,Black,2006-03-27,Police Officer,1983,73.9788
21060,F,White,2000-06-19,Police Officer,1968,41.7141
32186,M,Hispanic,1998-06-08,Police Officer,1974,83.5581
21124,M,White,2002-04-29,Sergeant,1978,99.6637
22837,M,White,1993-12-13,Sergeant,1970,74.8156
30769,M,Black,1997-09-02,Sergeant,1966,76.9898
11833,M,White,2015-04-06,Police Officer,1988,75.2894
28712,M,White,1995-08-07,Police Officer,1962,80.8529
28755,M,Hispanic,2000-02-28,Police Officer,1955,41.0913
999,M,Hispanic,2012-10-05,Police Officer,1985,60.1162
10387,M,White,2004-10-25,Police Officer,1981,80.2721
4322,M,Hispanic,2004-10-25,Police Officer,1969,86.9665
23763,M,Hispanic,1998-02-17,Detective,1965,64.5103
12006,M,Hispanic,2012-11-30,Field Training Officer,1986,38.0880
13147,M,Hispanic,1992-06-29,Sergeant,1968,35.6463
2803,M,Black,1995-07-10,Police Officer,1965,79.1334
32338,M,Hispanic,1994-09-06,Police Officer,1967,84.7427
6850,M,Hispanic,2005-10-31,Police Officer,1975,93.8711
29529,M,Hispanic,2006-11-27,Police Officer,1982,89.9927
17623,M,Hispanic,2013-05-01,Police Officer,1983,42.0962
12497,M,Asian/Pacific,2003-04-28,Detective,1980,88.7777
27416,M,White,2015-02-23,Police Officer,1991,72.1791
20971,M,White,1991-12-02,Police Officer,1961,82.5417
13126,M,Black,2000-12-18,Police Officer,1972,94.2952
18092,M,White,1994-05-31,Police Officer,1968,96.8133
32018,M,Asian/Pacific,1995-07-10,Police Officer,1969,89.5992
28945,M,Hispanic,2012-10-31,Police Officer,1982,84.5631
9725,M,Black,1994-10-03,Police Officer,1957,83.7454
17743,M,Black,2001-09-24,Police Officer,1977,75.4423
15776,M,White,2007-08-27,Police Officer,1984,93.9284
11823,F,Black,1998-05-26,Police Officer,1969,53.0969
1257,M,White,2004-09-27,Police Officer,1974,93.1948
3190,M,White,2003-10-27,Police Officer,1980,70.7654
9380,M,Hispanic,2013-03-05,Police Officer,1978,99.0142
8417,M,White,1999-03-08,Lieutenant,1972,88.4605
30111,M,Black,1981-06-08,Field Training Officer,1952,95.9938
8494,M,Hispanic,1998-11-30,Police Officer,1972,54.1515
19351,M,Hispanic,1994-05-31,Sergeant,1968,66.6081
19384,M,Black,1995-02-06,Police Officer,1964,91.2881
23707,M,White,2000-10-10,Police Officer,1978,89.6145
9694,M,Hispanic,1999-11-29,Sergeant,1970,98.7276
5346,F,Black,1995-07-10,Detective,1971,25.1729
28291,F,Black,1994-01-18,Police Officer,1958,24.1603
31599,M,Hispanic,1994-08-01,Sergeant,1965,93.4737
4103,M,Hispanic,2007-07-09,Police Officer,1981,87.6122
5381,M,White,2012-11-30,Detective,1987,38.0880
20526,F,Hispanic,2003-10-27,Police Officer,1976,26.3842
16618,F,White,1997-03-17,Sergeant,1972,68.8205
13293,M,White,2008-04-28,Police Officer,1977,56.7613
8348,M,White,1986-09-08,Detective,1959,66.7762
5367,M,White,1986-11-17,Police Officer,1964,73.5432
32194,M,White,2006-12-18,Police Officer,1976,98.0742
14097,M,White,1998-11-30,Detective,1970,79.2251
5474,M,White,2002-03-25,Police Officer,1976,56.8874
17727,M,Black,1991-05-22,Police Officer,1965,72.8631
7080,M,Hispanic,2012-08-31,Police Officer,1986,36.3800
12102,M,White,2000-08-14,Police Officer,1976,93.4087
15531,M,White,2004-04-26,Police Officer,1971,75.7785
14983,F,White,2000-12-18,Sergeant,1976,29.8766
32147,M,Hispanic,1999-10-25,Police Officer,1970,73.9483
24078,F,Hispanic,1998-06-08,Police Officer,1972,32.6659
30598,M,Black,1994-01-18,Police Officer,1959,49.8376
26304,M,White,2007-07-09,Police Officer,1981,85.0789
4202,M,Hispanic,2005-10-31,Police Officer,1970,95.3575
3774,F,Black,1991-06-19,Sergeant,1964,74.8730
10333,M,Hispanic,2013-07-15,Police Officer,1988,44.1787
15234,F,White,2001-06-25,Detective,1975,96.8209
3563,M,Hispanic,2006-09-25,Police Officer,1978,96.4044
13940,M,Black,2005-12-05,Police Officer,1980,87.7078
648,M,Black,2000-12-18,Police Officer,1953,83.5658
17594,M,Hispanic,2013-03-05,Police Officer,1985,64.6976
30579,M,White,1999-07-12,Police Officer,1962,82.2170
30515,M,White,2007-04-30,Police Officer,1983,92.1936
23201,M,Black,1993-05-17,Detective,1970,77.6394
915,M,White,1991-11-18,Sergeant,1969,62.5463
3520,F,White,1990-03-26,Police Officer,1960,73.0732
16810,M,White,2006-07-31,Police Officer,1982,97.1801
2829,M,White,1999-03-08,Police Officer,1957,93.2062
7538,M,Black,2002-09-30,Police Officer,1978,95.8848
26018,M,Hispanic,2007-09-24,Detective,1982,93.0075
21146,M,Hispanic,2013-12-02,Police Officer,1986,86.2787
6311,F,White,1990-03-26,Sergeant,1952,65.2103
3020,M,Black,1997-07-07,Field Training Officer,1962,78.7207
246,F,Black,2001-08-27,Police Officer,1977,44.1672
11899,F,White,2013-11-04,Police Officer,1975,47.7360
9977,M,Black,1998-11-30,Police Officer,1966,91.0015
14598,M,White,1999-12-13,Police Officer,1976,85.9730
26168,F,Black,1989-12-26,Police Officer,1963,89.1849
18599,M,White,1999-08-02,Sergeant,1973,94.0927
2423,M,White,2012-07-02,Police Officer,1982,88.0364
31925,F,Black,1995-01-03,Sergeant,1962,84.0472
18842,F,White,2003-08-25,Police Officer,1980,80.0084
23580,M,White,1998-07-27,Police Officer,1973,61.6407
5912,M,Black,2004-04-26,Police Officer,1970,63.0316
4946,M,Black,1987-02-02,Police Officer,1958,72.3358
27935,M,White,1992-01-02,Sergeant,1968,98.0322
16043,F,White,2000-01-24,Sergeant,1975,88.6172
4724,F,Black,1998-08-31,Detective,1967,38.3058
26403,M,White,2003-04-28,Police Officer,1974,87.2722
32431,M,White,2004-11-29,Police Officer,1981,87.1232
15723,M,Black,1988-11-07,Police Officer,1964,58.0566
25071,M,White,2012-12-14,Police Officer,1984,95.3040
18518,M,White,2000-06-19,Police Officer,1977,75.3888
20536,M,Hispanic,2013-03-15,Police Officer,1983,87.2416
5555,F,Asian/Pacific,2001-02-05,Police Officer,1967,23.8203
9310,M,White,2015-02-02,Police Officer,1990,70.6584
32342,M,White,1997-07-07,Sergeant,1971,93.3438
25483,M,Hispanic,2003-09-29,Police Officer,1975,61.0638
16032,M,Hispanic,2007-09-24,Police Officer,1974,85.7743
8766,M,Asian/Pacific,2012-10-31,Police Officer,1983,70.9456
15632,M,Black,2000-12-18,Sergeant,1978,88.7280
29378,M,Hispanic,2010-09-01,Police Officer,1982,77.3757
11376,M,White,2013-03-15,Police Officer,1985,64.9803
19738,M,White,2006-12-18,Police Officer,1983,41.9587
14450,M,Black,1994-12-05,Police Officer,1965,76.2447
13109,M,Black,2014-09-29,Police Officer,1990,62.6686
23633,M,Black,1990-03-26,Police Officer,1958,93.7450
29197,F,White,2000-06-19,Police Officer,1969,96.4617
19410,M,Hispanic,2010-04-16,Police Officer,1983,67.1125
21934,M,White,1998-06-08,Police Officer,1953,73.7763
9742,M,Black,1999-11-29,Police Officer,1968,34.5038
6376,M,Black,2013-04-01,Police Officer,1987,65.5649
19885,M,White,1998-11-30,Police Officer,1967,86.8786
24106,M,Hispanic,2003-10-27,Police Officer,1977,74.4030
24033,M,Hispanic,2012-07-02,Field Training Officer,1983,82.1826
32319,F,Black,2004-11-29,Police Officer,1970,77.5477
14479,M,White,2009-12-16,Police Officer,1982,90.3557
27993,M,White,2012-10-31,Police Officer,1987,60.8613
